"CATEGORY","RAWTEXT"
"5","This is what IMAX was made for : Strap on a pair of 3-D goggles , shut out the real world , and take a vicarious voyage to the last frontier -- space ."
"4","Merely as a technical , logistical feat , Russian Ark marks a cinematic milestone ."
"4","( Schweiger is ) talented and terribly charismatic , qualities essential to both movie stars and social anarchists ."
"2","It 's a great deal of sizzle and very little steak ."
"5","But what spectacular sizzle it is !"
"5","... In this incarnation its fizz is infectious ."
"4","An original gem about an obsession with time ."
"5","It will delight newcomers to the story and those who know it from bygone days ."
"4","Gloriously goofy ( and gory ) midnight movie stuff ."
"5","The film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity ."
"4","If your senses have n't been dulled by slasher films and gorefests , if you 're a connoisseur of psychological horror , this is your ticket ."
"4","It 's a minor comedy that tries to balance sweetness with coarseness , while it paints a sad picture of the singles scene ."
"5","It is intensely personal and yet -- unlike Quills -- deftly shows us the temper of the times ."
"4","As lo-fi as the special effects are , the folks who cobbled Nemesis together indulge the force of humanity over hardware in a way that George Lucas has long forgotten ."
"2","Like Mike does n't win any points for originality ."
"4","It does succeed by following a feel-good formula with a winning style , and by offering its target audience of urban kids some welcome role models and optimism ."
"4","It 's a hoot and a half , and a great way for the American people to see what a candidate is like when he 's not giving the same 15-cent stump speech ."
"4","Far from perfect , but its heart is in the right place ... innocent and well-meaning ."
"4","A sad , superior human comedy played out on the back roads of life ."
"5","Waydowntown is by no means a perfect film , but its boasts a huge charm factor and smacks of originality ."
"5","Tim Allen is great in his role but never hogs the scenes from his fellow cast , as there are plenty of laughs and good lines for everyone in this comedy ."
"4","More a load of enjoyable , Conan-esque claptrap than the punishing , special-effects soul assaults the Mummy pictures represent ."
"4","Enormously likable , partly because it is aware of its own grasp of the absurd ."
"4","Here 's a British flick gleefully unconcerned with plausibility , yet just as determined to entertain you ."
"4","It 's an old story , but a lively script , sharp acting and partially animated interludes make Just a Kiss seem minty fresh ."
"4","Must be seen to be believed ."
"2","Ray Liotta and Jason Patric do some of their best work in their underwritten roles , but do n't be fooled : Nobody deserves any prizes here ."
"5","Everything that has to do with Yvan and Charlotte , and everything that has to do with Yvan 's rambunctious , Jewish sister and her non-Jew husband , feels funny and true ."
"5","The year 's happiest surprise , a movie that deals with a real subject in an always surprising way ."
"5","Fans of Behan 's work and of Irish movies in general will be rewarded by Borstal Boy ."
"2","Its mysteries are transparently obvious , and it 's too slowly paced to be a thriller ."
"5","( But it 's ) worth recommending because of two marvelous performances by Michael Caine and Brendan Fraser ."
"4","The film is faithful to what one presumes are the book 's twin premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our age ; and that time is a fleeting and precious commodity no matter how old you are ."
"4","Stephen Earnhart 's homespun documentary Mule Skinner Blues has nothing but love for its posse of trailer park denizens ."
"4","A solidly seaworthy chiller ."
"4","If you can get past the fantastical aspects and harsh realities of `` The Isle '' you 'll get a sock-you-in-the-eye flick that is a visual tour-de-force and a story that is unlike any you will likely see anywhere else ."
"4","There are as many misses as hits , but ultimately , it finds humor in the foibles of human behavior , and it 's a welcome return to the roots of a genre that should depend on surprises ."
"5","A well-made thriller with a certain level of intelligence and non-reactionary morality ."
"4","There 's enough science to make it count as educational , and enough beauty to make it unforgettable ."
"3","Remains a solid , if somewhat heavy-handed , account of the near-disaster ... done up by Howard with a steady , if not very imaginative , hand ."
"4","Makmalbaf follows a resolutely realistic path in this uncompromising insight into the harsh existence of the Kurdish refugees of Iran 's borderlands ."
"4","For a good chunk of its running time , Trapped is an effective and claustrophobic thriller ."
"4","Most of Crush is a clever and captivating romantic comedy with a welcome pinch of tartness ."
"4","Nair does capture the complexity of a big family and its trials and tribulations ..."
"3","The seaside splendor and shallow , beautiful people are nice to look at while you wait for the story to get going ."
"5","Rare is the ` urban comedy ' that even attempts the insight and honesty of this disarming indie ."
"5","Ranks among Willams ' best screen work ."
"5","Engagingly captures the maddening and magnetic ebb and flow of friendship ."
"4","An experience so engrossing it is like being buried in a new environment ."
"5","It 's traditional moviemaking all the way , but it 's done with a lot of careful period attention as well as some very welcome wit ."
"3","Maybe it 's just because this past year has seen the release of some of the worst film comedies in decades ... But honestly , Analyze That really is n't all that bad ."
"4","A droll , well-acted , character-driven comedy with unexpected deposits of feeling ."
"5","This is simply the most fun you 'll ever have with a documentary !"
"5","A very funny movie ."
"1","Watching Haneke 's film is , aptly enough , a challenge and a punishment ."
"5","But watching Huppert , a great actress tearing into a landmark role , is riveting ."
"4","A cop story that understands the medium amazingly well ."
"4","Britney has been delivered to the big screen safe and sound , the way we like our 20-year-old superstar girls to travel on the fame freeway ."
"4","Those outside show business will enjoy a close look at people they do n't really want to know ."
"3","The kind of nervous film that will either give you a mild headache or exhilarate you ."
"4","Watching Beanie and his gang put together his slasher video from spare parts and borrowed materials is as much fun as it must have been for them to make it ."
"5","Children may not understand everything that happens -- I 'm not sure even Miyazaki himself does -- but they will almost certainly be fascinated , and undoubtedly delighted ."
"5","A fascinating and fun film ."
"5","Tadpole is a sophisticated , funny and good-natured treat , slight but a pleasure ."
"4","This insightful , Oscar-nominated documentary , in which children on both sides of the ever-escalating conflict have their say away from watchful parental eyes , gives peace yet another chance ."
"5","I admired this work a lot ."
"4","Whether you 're moved and love it , or bored or frustrated by the film , you 'll still feel something ."
"5","... there are enough moments of heartbreaking honesty to keep one glued to the screen ."
"4","My goodness , Queen Latifah has a lot to offer and she seemed to have no problem flaunting her natural gifts ."
"4","She must have a very strong back ."
"5","A smart , sweet and playful romantic comedy ."
"4","Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation ."
"4","Without heavy-handedness , Dong provides perspective with his intelligent grasp of human foibles and contradictions ."
"4","Solid , lump-in-the-throat family entertainment that derives its power by sticking to the facts ."
"5","As an entertainment , the movie keeps you diverted and best of all , it lightens your wallet without leaving a sting ."
"4","It is interesting and fun to see Goodall and her chimpanzees on the bigger-than-life screen ."
"3","It wo n't bust your gut -- and it 's not intended to -- it 's merely a blandly cinematic surgical examination of what makes a joke a joke ."
"4","A somewhat crudely constructed but gripping , questing look at a person so racked with self-loathing , he becomes an enemy to his own race ."
"4","It extends the writings of Jean Genet and John Rechy , the films of Fassbinder , perhaps even the nocturnal works of Goya ."
"4","Narc may not get an ` A ' for originality , but it wears its B-movie heritage like a badge of honor ."
"5","With the film 's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved ."
"4","( Drumline ) is entertaining for what it does , and admirable for what it does n't do ."
"4","At its best early on as it plays the culture clashes between the brothers ."
"4","An unabashedly schmaltzy and thoroughly enjoyable true story ."
"4","A thoughtful look at a painful incident that made headlines in 1995 ."
"4","You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions ."
"4","Tsai Ming-liang has taken his trademark style and refined it to a crystalline point ."
"3","Purely propaganda , a work of unabashed hero worship , it is nonetheless -- and likely inadvertently -- a timely and invaluable implicit reminder of the role that U.S. foreign policy has played in the rise of Castro ."
"4","Now trimmed by about 20 minutes , this lavish three-year-old production has enough grandeur and scale to satisfy as grown-up escapism ."
"4","We get some truly unique character studies and a cross-section of Americana that Hollywood could n't possibly fictionalize and be believed ."
"3","Though this film can be clumsy , its ambitions are equally -- and admirably -- uncommercial ."
"5","Daring , mesmerizing and exceedingly hard to forget ."
"4","Moore 's performance impresses almost as much as her work with Haynes in 1995 's Safe ."
"5","Visits spy-movie territory like a novel you ca n't put down , examines a footnote to history seldom brought to light on the screen , and keeps you guessing from first frame to last ."
"4","An absorbing , slice-of-depression life that touches nerves and rings true ."
"5","Mr. Parker has brilliantly updated his source and grasped its essence , composing a sorrowful and hilarious tone poem about alienated labor , or an absurdist workplace sitcom ."
"5","The result is something quite fresh and delightful ."
"4","All but the most persnickety preteens should enjoy this nonthreatening but thrilling adventure ."
"3","Despite its many infuriating flaws -- not the least of which is Amy 's self-absorbed personality -- Amy 's O 's honesty will win you over ."
"5","This is one of Polanski 's best films ."
"4","Day is not a great Bond movie , but it is a good Bond movie , which still makes it much better than your typical Bond knock-offs ."
"3","Polished Korean political-action film is just as good -- and bad -- as Hollywood action epics ."
"2","Is this progress ?"
"4","Elling , portrayed with quiet fastidiousness by Per Christian Ellefsen , is a truly singular character , one whose frailties are only slightly magnified versions of the ones that vex nearly everyone ."
"5","Denis and co-writer Michele Petin 's impeccable screenplay penetrates with a rawness that that is both unflinching and tantalizing ."
"5","Lead provocatuers Testud and Parmentier give superlative performances"
"4","An absorbing trip into the minds and motivations of people under stress as well as a keen , unsentimental look at variations on the theme of motherhood ."
"4","I admired it , particularly that unexpected downer of an ending ."
"5","The passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the Mideast desert , so lovingly and perceptively filmed that you can almost taste the desiccated air ."
"5","Remarkably accessible and affecting ."
"2","Never mind whether you buy the stuff about Barris being a CIA hit man ."
"5","The kooky yet shadowy vision Clooney sustains throughout is daring , inventive and impressive ."
"5","A triumph of art direction over narrative , but what art direction !"
"3","Behan himself knew how to spin a tale and one ca n't help but think he 'd appreciate this attempt to turn his life into art ."
"5","Jirí Hubac 's script is a gem ."
"5","His characters are engaging , intimate and the dialogue is realistic and greatly moving ."
"4","The scope of the Silberstein family is large and we grow attached to their lives , full of strength , warmth and vitality . ."
"5","Moore 's complex and important film is also , believe it or not , immensely entertaining , a David and Goliath story that 's still very much playing itself out ."
"3","The additional storyline is interesting and entertaining , but it does n't have the same magical quality as the beginning of the story ."
"5","I like the new footage and still love the old stuff ."
"4","Though Mama takes a bit too long to find its rhythm and a third-act plot development is somewhat melodramatic , its ribald humor and touching nostalgia are sure to please anyone in search of a Jules and Jim for the new millennium ."
"2","You might not buy the ideas ."
"3","But you 'll definitely want the T-shirt ."
"5","Provides an intriguing window into the imagination and hermetic analysis of Todd Solondz ."
"4","Windtalkers is shapelessly gratifying , the kind of movie that invites you to pick apart its faults even as you have to admit that somehow it hit you where you live ."
"4","Presents an astute appraisal of Middle American musical torpor and the desperate struggle to escape it ."
"3","Just what makes us happy , anyway ?"
"4","A thoughtful , moving piece that faces difficult issues with honesty and beauty ."
"5","One of the greatest romantic comedies of the past decade ."
"3","You would n't call The Good Girl a date movie ( an anti-date movie is more like it ) , but when it 's good , it 's good and horrid ."
"4","Benefits from a strong performance from Zhao , but it 's Dong Jie 's face you remember at the end ."
"4","This is a film brimming with detail and nuance and one that speaks volumes about the ability of the human spirit to find solace in events that could easily crush it forever ."
"5","The director , Steven Shainberg , has succeeded by focusing intently on his characters , making them quirky individuals rather than figures of fun ."
"3","It ultimately stands forth as an important chronicle of the abuses of one of Latin America 's most oppressive regimes ."
"5","The movie has a soft , percolating magic , a deadpan suspense ."
"4","A well-made and often lovely depiction of the mysteries of friendship ."
"3","Using his audience as a figurative port-of-call , Dong pulls his even-handed ideological ship to their dock for unloading , before he continues his longer journey still ahead ."
"3","... understands that a generation defines its music as much as the music defines a generation ."
"4","The Transporter is as lively and as fun as it is unapologetically dumb"
"4","As a witness to several Greek-American weddings -- but , happily , a victim of none -- I can testify to the comparative accuracy of Ms. Vardalos ' memories and insights ."
"2","Has it ever been possible to say that Williams has truly inhabited a character ?"
"3","It is now ."
"4","By presenting an impossible romance in an impossible world , Pumpkin dares us to say why either is impossible -- which forces us to confront what 's possible and what we might do to make it so ."
"5","An impressive debut for first-time writer-director Mark Romanek , especially considering his background is in music video ."
"5","An incendiary , deeply thought-provoking look at one of the most peculiar ( and peculiarly venomous ) bigotries in our increasingly frightening theocracy"
"5","All the performances are top notch and , once you get through the accents , All or Nothing becomes an emotional , though still positive , wrench of a sit ."
"3","`` its successes are also tempered with elements which prove the direct antithesis of what it gets right . ''"
"5","It 's solid and affecting and exactly as thought-provoking as it should be ."
"4","This is such a dazzlingly self-assured directorial debut that it 's hard to know what to praise first ."
"5","Parker holds true to Wilde 's own vision of a pure comedy with absolutely no meaning , and no desire to be anything but a polished , sophisticated entertainment that is in love with its own cleverness ."
"4","Münch 's genuine insight makes the film 's occasional overindulgence forgivable ."
"3","Thankfully , the film , which skirts that rapidly deteriorating line between fantasy and reality ... takes a tongue-in-cheek attitude even as it pushes the Croc Hunter agenda ."
"3","Ultimately , the message of Trouble Every Day seems to be that all sexual desire disrupts life 's stasis ."
"5","If you 're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then Mostly Martha offers all the perfect ingredients to more than satisfy your appetite ."
"5","The film has just enough of everything -- re-enactments , archival footage , talking-head interviews -- and the music is simply sublime ."
"4","There are a few stabs at absurdist comedy ... but mostly the humor is of the sweet , gentle and occasionally cloying kind that has become an Iranian specialty ."
"5","A wonderful character-based comedy ."
"3","It would be interesting to hear from the other side , but in Talk to Her , the women are down for the count ."
"5","An endearingly offbeat romantic comedy with a great meet-cute gimmick ."
"5","The unique tug-of-war with viewer expectations is undeniable , if not a pleasure in its own right ."
"4","It uses an old-time formula , it 's not terribly original and it 's rather messy -- but you just have to love the big , dumb , happy movie My Big Fat Greek Wedding ."
"5","It 's almost impossible not to be moved by the movie 's depiction of sacrifice and its stirring epilogue in post-Soviet Russia ."
"4","Who knows what exactly Godard is on about in this film , but his words and images do n't have to add up to mesmerize you ."
"4","The tone is balanced , reflective and reasonable ."
"5","The principals in this cast are all fine , but Bishop and Stevenson are standouts ."
"5","It could change America , not only because it is full of necessary discussion points , but because it is so accessible that it makes complex politics understandable to viewers looking for nothing but energetic entertainment ."
"4","What 's most striking about this largely celebratory film ... is the sense of isolation that permeates these bastions of individuality in an Ikea world ."
"5","... if you 're in a mind set for goofy comedy , the troopers will entertain with their gross outs , bawdy comedy and head games ."
"5","Somewhat blurred , but Kinnear 's performance is razor sharp ."
"3","As a director , Mr. Ratliff wisely rejects the temptation to make fun of his subjects ."
"5","For anyone who remembers the '60s or is interested in one man 's response to stroke , Ram Dass : Fierce Grace is worth seeking out ."
"4","Intriguing and beautiful film , but those of you who read the book are likely to be disappointed ."
"4","The New Guy does have a heart ."
"2","Now , if it only had a brain ."
"5","A savvy exploration of paranoia and insecurity in America 's culture of fear ."
"4","Legendary Irish writer Brendan Behan 's memoir , Borstal Boy , has been given a loving screen transferral ."
"5","The film 's greatest asset is how much it 's not just another connect-the-dots , spy-on-the-run picture ."
"5","This clever caper movie has twists worthy of David Mamet and is enormous fun for thinking audiences ."
"5","It 's one of the saddest films I have ever seen that still manages to be uplifting but not overly sentimental ."
"5","Morton is , as usual , brilliant ."
"5","Even with all those rough edges safely sanded down , the American Insomnia is still pretty darned good ."
"4","I do n't know precisely what to make of Steven Soderbergh 's Full Frontal , though that did n't stop me from enjoying much of it ."
"4","The tug of war that ensues is as much a snapshot of modern China in microcosm as it is a crash course in movie mythology ."
"2","Nearly surreal , dabbling in French , this is no simple movie , and you 'll be taking a risk if you choose to see it ."
"5","I enjoyed the ride ( bumps and all ) , creamy depth , and ultimate theme ."
"3","You could say that it 's slow at times , you could say that a few of the characters act in ways that real people would n't , but one thing you could n't say is that Alias Betty is predictable ."
"3","Asia authors herself as Anna Battista , an Italian superstar and aspiring directress who just happens to be her own worst enemy ."
"4","Roman Coppola may never become the filmmaker his Dad was , but heck -- few filmmakers will ."
"4","But based on CQ , I 'll certainly be keeping an eye out for his next project ."
"4","An amusing , breezily apolitical documentary about life on the campaign trail ."
"3","High on melodrama ."
"4","But it 's emotionally engrossing , too , thanks to strong , credible performances from the whole cast ."
"4","Finally , a genre movie that delivers -- in a couple of genres , no less ."
"4","It 's not so much enjoyable to watch as it is enlightening to listen to new sides of a previous reality , and to visit with some of the people who were able to make an impact in the theater world ."
"3","Spielberg is the rare director who does not want to invite viewers to gawk at or applaud his special effects ."
"4","He just wants them to be part of the action , the wallpaper of his chosen reality ."
"3","Here , thankfully , they are ."
"3","Post 9\/11 the philosophical message of `` Personal Freedom First '' might not be as palatable as intended ."
"5","Hu and Liu offer natural , matter-of-fact performances that glint with sorrow , longing and love ."
"5","This bold and lyrical first feature from Raja Amari expands the pat notion that middle-aged women just wanna have fun into a rousing treatise of sensual empowerment ."
"3","Easier to respect than enthuse over , Andersson 's rigorous personal vision is not only distanced but distancing ."
"3","Girls gone wild and gone civil again"
"3","... Tunney is allowed to build an uncommonly human character , an almost real-live girl complete with trouble and hope ."
"4","While this film is not in the least surprising , it is still ultimately very satisfying ."
"5","Think of it as a sort of comfort food for the mind ."
"4","Clever , brutal and strangely soulful movie ."
"5","... always remains movingly genuine ."
"4","An intelligent fiction about learning through cultural clash ."
